01:35.2,,35.24690226
01:34.0,,34.00759884
01:35.9,,35.8714156
01:35.8,,35.7579354
01:35.5,,35.47946685
02:55.6,,35.27266379
02:49.1,,55.60448782
03:17.1,,49.130033
02:54.9,,77.14896158
02:59.9,,54.90829156
06:20.3,,59.88714674
05:58.3,,59.33578414
05:57.4,,140.346091
05:57.3,,118.2814274
05:28.2,,117.3844894
10:43.6,,117.3110454
12:33.7,,88.15896377
11:59.0,,116.2964034
10:37.2,,163.6146146
12:07.2,,273.7106028
21:07.7,,239.0002953
21:10.1,,157.1729321
20:22.9,,247.1906598
18:55.8,,216.1378209
22:35.2,,307.7484011
32:32.5,,310.1453789
32:34.2,,262.8912098
32:33.2,,175.7794823
32:34.4,,395.2131647
32:32.5,,290.3555274
32:35.1,,32.47392661
32:35.0,,34.19792763
04:41.1,,33.23383527
04:34.5,,34.42077991
04:50.5,,32.47656537
04:44.7,,35.08432716
04:43.5,,34.99280997
04:43.9,,33.84002456
04:41.4,,41.10166438
08:42.9,,34.49418634
08:44.5,,50.53983854
08:45.0,,44.65922718
08:35.2,,43.49592193
08:49.1,,43.90047743
16:24.7,,41.40670822
16:18.2,,42.79971772
16:18.0,,42.87663797
16:12.2,,44.48464563
16:22.1,,44.97526522
,,35.16790322
,,49.07347994
32:47.0,,43.31558639
32:51.9,,24.74228362
32:57.9,,18.19477117
32:57.9,,17.99971272
32:51.5,,12.22825396
32:53.2,,22.14189997
33:02.4,,19.06138429
32:56.9,,
33:03.3,,
33:02.8,,
,,
54.56986286,,
55.8913568,,
54.41080504,,
45.80602074,,
63.8335433,,
53.05744563,,
51.95944039,,
62.4583885,,
54.25174953,,
53.95882479,,
49.61583421,,
59.60382213,,
60.21581127,,
54.34527473,,
48.85509012,,
50.16300575,,
47.52841686,,
55.28512652,,
44.29658164,,
42.11072844,,
42.10309585,,
35.70579977,,
33.73752781,,
36.03281335,,
39.30822096,,
33.20328107,,
28.96442681,,


1:       14.059756875823687
1:       14.15404038180684
1:       13.929123637225509
1:       14.000762641292235
1:       14.012210594480837


2:       27.84971308489902
2:       27.39878851851065
2:       28.507323096069367
2:       27.840707328554018
2:       25.95041665786503


4:       47.26977767664685
4:       52.96564596934976
4:       50.85548561480762
4:       51.19056013413247
4:       52.61900657042479


8:       82.03375642422084
8:       90.83792246182418
8:       82.67792117187531
8:       88.04197983595154
8:       86.01697317708698


16:       147.77746256166697
16:       112.81925919545297
16:       141.2846165983087
16:       119.07897841318676
16:       120.64056451587544


32:       148.57523241478407
32:       164.04401123161458
32:       146.05475770192774
32:       146.93024285084698
32:       160.82888330754304


64:       210.52689419523654
64:       226.02855057125507
64:       171.80271915049977
64:       183.87929717196548
64:       203.93926136590164


128:       98.43728903481511
128:       102.04875835377867
128:       96.04729944472712
128:       96.10380787527023
128:       117.63005956692675


256:       85.7013697224406
256:       83.5974605866396
256:       79.15342209844599
256:       83.04361740262297
256:       89.10286613464886


1:       4.1814473154548235
1:       4.222508664194245
1:       4.0689064118836455
1:       4.153758164597581
1:       4.20249415351221


2:       8.199911107796213
2:       8.396298050839926
2:       8.163739196588999
2:       8.24349354018771
2:       8.261171412652452


4:       15.197888508926615
4:       14.977329367092791
4:       15.527323798664208
4:       15.092811023239872
4:       14.738844472128084


8:       26.844902502027654
8:       25.86000199268968
8:       28.22401022153158
8:       25.21596471672888
8:       27.066011865948717


16:       37.97115179251032
16:       40.52861989805859
16:       33.397376842376616
16:       40.642850983601036
16:       39.64362960394682


32:       58.03772903790665
32:       48.86579136618199
32:       61.95703904937651
32:       53.227414629527274
32:       57.43893849364163


64:       61.22314534489345
64:       73.44724036817625
64:       70.8690066175518
64:       78.61296751577795
64:       64.16517397551954


128:       60.566162211247686
128:       59.973674151767746
128:       74.54064606627983
128:       63.58492052800433
128:       54.50893026062888


256:       67.49698905024711
256:       90.80554845892496
256:       68.70025648184227
256:       74.25420763521942
256:       66.46117439956969



32:       185.50580296795485
